,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Georgetown,MY,5.4112,100.3354,79.0,100,20,5.26,few clouds
108,Severo-Yeniseyskiy,RU,60.3725,93.0408,20.57,96,73,3.74,broken clouds
109,Cabo San Lucas,MX,22.8909,-109.9124,80.6,54,20,9.22,few clouds
110,Srandakan,ID,-7.9386,110.2506,77.86,86,92,3.13,overcast clouds
111,Nikolskoye,RU,59.7035,30.7861,37.0,74,0,4.47,clear sky
112,Port Elizabeth,ZA,-33.918,25.5701,64.4,94,75,2.66,broken clouds
113,Kajaani,FI,64.2273,27.7285,30.2,93,20,9.22,few clouds
114,Marathon,US,44.9,-89.7668,53.6,66,90,8.05,overcast clouds
115,Tual,ID,-5.6667,132.75,83.46,62,100,7.58,overcast clouds
116,Halden,NO,59.1226,11.3871,37.0,51,4,3.44,clear sky
117,Namibe,AO,-15.1961,12.1522,78.75,71,27,4.23,light rain
118,Bengkulu,ID,-3.8004,102.2655,74.97,88,61,4.09,broken clouds
119,Boyolangu,ID,-8.1181,111.8935,75.69,91,73,1.48,broken clouds
120,Umea,SE,63.8284,20.2597,26.6,86,58,5.75,broken clouds
121,Jinchang,CN,38.4953,102.1739,47.88,35,99,4.29,overcast clouds
122,Mponela,MW,-13.5319,33.7401,60.8,88,0,3.44,clear sky
123,Iquique,CL,-20.2208,-70.1431,66.2,68,75,8.05,broken clouds
124,Tiksi,RU,71.6872,128.8694,-8.66,93,41,5.59,scattered clouds
125,Bossangoa,CF,6.4926,17.4552,73.99,73,62,5.06,broken clouds
126,Maracay,VE,10.2469,-67.5958,77.97,75,100,5.99,overcast clouds
127,Dongsheng,CN,39.8161,109.9776,45.41,79,100,13.04,overcast clouds
128,Cape Town,ZA,-33.9258,18.4232,64.0,88,0,10.36,clear sky
129,Aklavik,CA,68.2191,-135.0107,-0.4,50,20,8.05,few clouds
130,Soyo,AO,-6.1349,12.3689,79.23,84,93,4.63,overcast clouds
131,Olga,RU,43.7444,135.2892,45.9,42,4,3.42,clear sky
132,Henties Bay,NA,-22.116,14.2845,73.53,54,0,8.28,clear sky
133,Mahebourg,MU,-20.4081,57.7,78.8,78,75,11.5,light rain
134,Paratinga,BR,-12.6906,-43.1842,80.55,50,100,6.2,overcast clouds
135,Upernavik,GL,72.7868,-56.1549,16.21,91,98,6.93,overcast clouds
136,Mangrol,IN,21.1167,70.1167,77.74,68,0,11.95,clear sky
137,Oktyabrskoye,RU,43.0645,44.7417,41.0,100,99,4.47,overcast clouds
138,Saint-Philippe,RE,-21.3585,55.7679,78.8,78,0,4.61,clear sky
139,Codrington,AU,-38.2667,141.9667,52.48,64,100,21.88,overcast clouds
140,Narsaq,GL,60.9167,-46.05,37.4,75,27,2.3,scattered clouds
141,La Ronge,CA,55.1001,-105.2842,41.0,75,92,9.22,overcast clouds
142,San Jeronimo,PE,-11.9472,-75.2829,51.58,86,97,7.11,light rain
143,Srednekolymsk,RU,67.45,153.6833,-7.92,92,100,8.57,overcast clouds
144,Rio Gallegos,AR,-51.6226,-69.2181,53.6,43,0,13.8,clear sky
145,Luwuk,ID,-0.9516,122.7875,78.55,82,100,2.33,overcast clouds
146,Esperanca,BR,-7.0331,-35.8572,73.4,88,0,4.61,clear sky
147,Novo Aripuana,BR,-5.1206,-60.3797,74.46,97,85,1.88,light rain
148,Inhambane,MZ,-23.865,35.3833,72.84,83,1,5.93,clear sky
149,Sinnamary,GF,5.3833,-52.95,78.26,84,76,7.14,moderate rain
150,Arlit,NE,18.7369,7.3853,84.04,7,0,11.39,clear sky
151,Vestmannaeyjar,IS,63.4427,-20.2734,37.18,94,100,6.87,overcast clouds
152,Coihaique,CL,-45.5752,-72.0662,48.2,76,75,7.09,broken clouds
153,Cayenne,GF,4.9333,-52.3333,75.2,94,75,3.44,light rain
154,Paris,FR,48.8534,2.3488,48.99,93,90,8.05,overcast clouds
155,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.61,66,1,8.75,clear sky
